red_fighter,blue_fighter,winner,fight_url,event,date,weight_class,method,round,time,red_wins,red_losses,red_draws,red_wins_by_ko_tko,red_wins_by_submission,red_wins_by_decision,red_losses_by_ko_tko,red_losses_by_submission,red_losses_by_decision,red_age,red_height_in,red_weight_lbs,red_reach_in,red_slpm,red_sapm,red_str_acc,red_str_def,red_td_avg,red_td_acc,red_td_def,red_sub_avg,red_stance,blue_wins,blue_losses,blue_draws,blue_wins_by_ko_tko,blue_wins_by_submission,blue_wins_by_decision,blue_losses_by_ko_tko,blue_losses_by_submission,blue_losses_by_decision,blue_age,blue_height_in,blue_weight_lbs,blue_reach_in,blue_slpm,blue_sapm,blue_str_acc,blue_str_def,blue_td_avg,blue_td_acc,blue_td_def,blue_sub_avg,blue_stance,red_tot_sig_str_landed,red_tot_sig_str_attempted,red_tot_td_landed,red_tot_td_attempted,red_tot_ctrl_time_sec,blue_tot_sig_str_landed,blue_tot_sig_str_attempted,blue_tot_td_landed,blue_tot_td_attempted,blue_tot_ctrl_time_sec
Donte Johnson,Cody Brundage,Donte Johnson,http://ufcstats.com/fight-details/9c8d5dbd8905a715,UFC 326: Holloway vs. Oliveira 2,,Middleweight Bout,Decision - Split Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Marc Goddard,3.0,5:00,8.0,0.0,0.0,,,,,,,,68.0,185.0,74.0,3.11,2.0,0.48,0.61,2.0,1.0,0.75,0.7,southpaw,11.0,9.0,1.0,,,,,,,,72.0,185.0,72.0,2.26,3.02,0.48,0.5,1.88,0.41,0.68,0.5,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricky Turcios,Alberto Montes,Alberto Montes,http://ufcstats.com/fight-details/6feb49a6b7e8433c,UFC 326: Holloway vs. Oliveira 2,,Featherweight Bout,Submission Round: 2 Time: 0:40 Time format: 3 Rnd (5-5-5) Referee: Kerry Hatley,2.0,0:40,13.0,6.0,0.0,,,,,,,,69.0,145.0,71.0,4.68,3.84,0.39,0.51,0.85,0.17,0.44,0.3,orthodox,12.0,1.0,0.0,,,,,,,,67.0,145.0,69.0,5.26,4.44,0.6,0.6,0.0,0.0,0.77,6.8,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Durden,Nyamjargal Tumendemberel,Nyamjargal Tumendemberel,http://ufcstats.com/fight-details/f661ef429055f8c1,UFC 326: Holloway vs. Oliveira 2,,Flyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Jason Herzog,3.0,5:00,17.0,10.0,1.0,,,,,,,,67.0,125.0,67.0,3.34,4.19,0.44,0.5,3.89,0.46,0.6,0.6,southpaw,10.0,1.0,0.0,,,,,,,,67.0,125.0,71.0,2.72,2.47,0.42,0.53,3.37,0.5,0.56,2.1,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sumudaerji,Jesus Aguilar,Sumudaerji,http://ufcstats.com/fight-details/a22fd3735819d858,UFC 326: Holloway vs. Oliveira 2,,Flyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Chris Tognoni,3.0,5:00,19.0,7.0,0.0,,,,,,,,68.0,125.0,72.0,4.43,2.35,0.5,0.62,0.67,0.35,0.72,0.5,southpaw,12.0,4.0,0.0,,,,,,,,64.0,125.0,62.0,2.54,2.29,0.38,0.61,1.52,0.29,0.45,1.1,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Tobias,Diyar Nurgozhay,Diyar Nurgozhay,http://ufcstats.com/fight-details/cc03e698c4b7da52,UFC 326: Holloway vs. Oliveira 2,,Light Heavyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,3.0,5:00,14.0,2.0,0.0,,,,,,,,74.0,205.0,74.0,2.77,5.81,0.36,0.35,2.4,0.33,1.0,1.6,orthodox,11.0,2.0,0.0,,,,,,,,74.0,205.0,74.0,4.52,2.81,0.59,0.61,1.37,0.75,0.8,0.0,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Fernandez,Rodolfo Bellato,Rodolfo Bellato,http://ufcstats.com/fight-details/a5abdc461cb1538e,UFC 326: Holloway vs. Oliveira 2,,Light Heavyweight Bout,KO/TKO Round: 1 Time: 2:42 Time format: 3 Rnd (5-5-5) Referee: Kerry Hatley,1.0,2:42,6.0,1.0,0.0,,,,,,,,73.0,205.0,76.0,8.14,10.17,0.58,0.36,0.0,0.0,0.0,0.0,orthodox,13.0,3.0,1.0,,,,,,,,75.0,205.0,75.0,5.37,5.86,0.6,0.46,1.38,0.35,0.94,0.2,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Moreno,Lone'er Kavanagh,Lone'er Kavanagh,http://ufcstats.com/fight-details/1330b5c21269fe92,UFC Fight Night: Moreno vs. Kavanagh,,Flyweight Bout,Decision - Unanimous Round: 5 Time: 5:00 Time format: 5 Rnd (5-5-5-5-5) Referee: Herb Dean,5.0,5:00,23.0,10.0,2.0,,,,,,,,67.0,125.0,70.0,3.84,3.64,0.44,0.59,1.36,0.39,0.65,0.4,orthodox,10.0,1.0,0.0,,,,,,,,66.0,125.0,67.0,4.13,3.49,0.48,0.56,1.12,0.45,0.94,0.2,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marlon Vera,David Martinez,David Martinez,http://ufcstats.com/fight-details/36d12b31957e94db,UFC Fight Night: Moreno vs. Kavanagh,,Bantamweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Marc Goddard,3.0,5:00,23.0,12.0,1.0,,,,,,,,68.0,135.0,70.0,4.18,5.34,0.47,0.5,0.47,0.39,0.71,0.8,switch,14.0,1.0,0.0,,,,,,,,65.0,135.0,67.0,4.82,2.9,0.46,0.69,0.6,0.25,1.0,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Zellhuber,King Green,King Green,http://ufcstats.com/fight-details/81f3d28d30d17378,UFC Fight Night: Moreno vs. Kavanagh,,Lightweight Bout,KO/TKO Round: 2 Time: 4:55 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,2.0,4:55,15.0,4.0,0.0,,,,,,,,73.0,155.0,77.0,5.45,6.17,0.38,0.54,0.14,0.25,0.81,0.3,switch,34.0,17.0,1.0,,,,,,,,70.0,155.0,71.0,6.38,3.58,0.53,0.62,1.31,0.42,0.72,0.3,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edgar Chairez,Felipe Bunes,Edgar Chairez,http://ufcstats.com/fight-details/7df505d8260ba680,UFC Fight Night: Moreno vs. Kavanagh,,Flyweight Bout,Decision - Split Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Marc Goddard,3.0,5:00,13.0,6.0,0.0,,,,,,,,67.0,125.0,71.0,3.65,4.75,0.45,0.46,0.0,0.0,0.38,1.3,orthodox,14.0,9.0,0.0,,,,,,,,67.0,125.0,69.0,3.17,4.57,0.46,0.47,1.08,0.25,0.4,1.4,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
