red_fighter,blue_fighter,winner,fight_url,event,date,weight_class,method,round,time,red_wins,red_losses,red_draws,red_wins_by_ko_tko,red_wins_by_submission,red_wins_by_decision,red_losses_by_ko_tko,red_losses_by_submission,red_losses_by_decision,red_age,red_height_in,red_weight_lbs,red_reach_in,red_slpm,red_sapm,red_str_acc,red_str_def,red_td_avg,red_td_acc,red_td_def,red_sub_avg,red_stance,blue_wins,blue_losses,blue_draws,blue_wins_by_ko_tko,blue_wins_by_submission,blue_wins_by_decision,blue_losses_by_ko_tko,blue_losses_by_submission,blue_losses_by_decision,blue_age,blue_height_in,blue_weight_lbs,blue_reach_in,blue_slpm,blue_sapm,blue_str_acc,blue_str_def,blue_td_avg,blue_td_acc,blue_td_def,blue_sub_avg,blue_stance,red_tot_sig_str_landed,red_tot_sig_str_attempted,red_tot_td_landed,red_tot_td_attempted,red_tot_ctrl_time_sec,blue_tot_sig_str_landed,blue_tot_sig_str_attempted,blue_tot_td_landed,blue_tot_td_attempted,blue_tot_ctrl_time_sec
Junior Tafa,Billy Elekana,Billy Elekana,http://ufcstats.com/fight-details/d94f1b32a81e3fa1,UFC 325: Volkanovski vs. Lopes 2,,Light Heavyweight Bout,Submission Round: 2 Time: 3:18 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,2.0,3:18,6.0,5.0,0.0,,,,,,,,75.0,205.0,75.0,3.41,2.55,0.51,0.51,0.0,0.0,0.7,0.0,orthodox,10.0,2.0,0.0,,,,,,,,75.0,205.0,77.0,2.71,3.59,0.56,0.46,0.85,0.22,0.0,0.8,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Rowston,Cody Brundage,Cam Rowston,http://ufcstats.com/fight-details/47362cae6ba0e077,UFC 325: Volkanovski vs. Lopes 2,,Middleweight Bout,KO/TKO Round: 2 Time: 4:08 Time format: 3 Rnd (5-5-5) Referee: Jim Perdios,2.0,4:08,14.0,3.0,0.0,,,,,,,,75.0,185.0,78.0,4.26,2.62,0.46,0.51,0.5,0.5,0.33,0.5,orthodox,11.0,9.0,1.0,,,,,,,,72.0,185.0,72.0,2.26,3.02,0.48,0.5,1.88,0.41,0.68,0.5,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Malkoun,Torrez Finney,Jacob Malkoun,http://ufcstats.com/fight-details/0047f8aadca1936f,UFC 325: Volkanovski vs. Lopes 2,,Middleweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Steve Perceval,3.0,5:00,9.0,3.0,0.0,,,,,,,,69.0,185.0,73.0,4.55,2.36,0.58,0.55,5.81,0.4,0.33,0.9,orthodox,11.0,1.0,0.0,,,,,,,,68.0,185.0,75.0,1.78,3.34,0.54,0.4,6.86,0.59,0.75,0.8,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Micallef,Oban Elliott,Jonathan Micallef,http://ufcstats.com/fight-details/78912b78aa946375,UFC 325: Volkanovski vs. Lopes 2,,Welterweight Bout,Submission Round: 2 Time: 3:31 Time format: 3 Rnd (5-5-5) Referee: Marc Goddard,2.0,3:31,9.0,1.0,0.0,,,,,,,,72.0,170.0,77.0,3.96,4.22,0.41,0.56,1.13,0.66,0.75,1.1,southpaw,12.0,4.0,0.0,,,,,,,,72.0,170.0,72.0,3.62,2.24,0.48,0.61,1.52,0.4,0.52,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaan Ofli,Yizha,Kaan Ofli,http://ufcstats.com/fight-details/4c1e7e1765a5438a,UFC 325: Volkanovski vs. Lopes 2,,Featherweight Bout,Decision - Majority Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Jim Perdios,3.0,5:00,14.0,4.0,1.0,,,,,,,,67.0,145.0,66.0,2.33,3.34,0.45,0.54,0.38,0.07,0.0,0.4,orthodox,26.0,6.0,0.0,,,,,,,,67.0,145.0,71.0,3.25,2.88,0.47,0.49,3.42,0.33,0.64,0.9,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sangwook Kim,Dom Mar Fan,Dom Mar Fan,http://ufcstats.com/fight-details/ad14c502c9c5a7e9,UFC 325: Volkanovski vs. Lopes 2,,Road to UFC 4 Lightweight Tournament Title Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd + OT (5-5-5-5) Referee: Daniel Movahedi,3.0,5:00,13.0,4.0,0.0,,,,,,,,72.0,155.0,71.0,5.11,5.82,0.55,0.44,1.77,0.22,0.72,1.2,orthodox,9.0,2.0,0.0,,,,,,,,71.0,155.0,75.0,3.71,2.49,0.56,0.44,2.0,0.5,0.66,0.3,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keiichiro Nakamura,Sebastian Szalay,Keiichiro Nakamura,http://ufcstats.com/fight-details/780bae82bdfc7112,UFC 325: Volkanovski vs. Lopes 2,,Road to UFC 4 Featherweight Tournament Title Bout,KO/TKO Round: 3 Time: 3:48 Time format: 3 Rnd + OT (5-5-5-5) Referee: Herb Dean,3.0,3:48,8.0,1.0,0.0,,,,,,,,70.0,145.0,70.0,4.48,4.28,0.41,0.63,0.0,0.0,0.78,0.0,southpaw,10.0,2.0,0.0,,,,,,,,66.0,145.0,66.0,4.94,2.2,0.41,0.65,0.51,0.2,0.84,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulangrangbo,Lawrence Lui,Lawrence Lui,http://ufcstats.com/fight-details/5c73e0013b859664,UFC 325: Volkanovski vs. Lopes 2,,Road to UFC 4 Bantamweight Tournament Title Bout,Decision - Split Round: 3 Time: 5:00 Time format: 3 Rnd + OT (5-5-5-5) Referee: Jim Perdios,3.0,5:00,10.0,4.0,0.0,,,,,,,,69.0,135.0,66.0,3.96,3.2,0.48,0.62,0.0,0.0,0.72,0.0,southpaw,8.0,1.0,0.0,,,,,,,,67.0,135.0,72.0,3.72,3.32,0.39,0.6,5.3,0.4,1.0,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Gaethje,Paddy Pimblett,Justin Gaethje,http://ufcstats.com/fight-details/fa4b3f5ce8055921,UFC 324: Gaethje vs. Pimblett,,UFC Interim Lightweight Title Bout,Decision - Unanimous Round: 5 Time: 5:00 Time format: 5 Rnd (5-5-5-5-5) Referee: Marc Goddard,5.0,5:00,27.0,5.0,0.0,,,,,,,,71.0,155.0,70.0,6.48,7.05,0.58,0.51,0.33,0.4,0.74,0.0,orthodox,23.0,4.0,0.0,,,,,,,,70.0,155.0,73.0,5.49,3.89,0.52,0.42,0.69,0.21,0.44,1.2,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean O'Malley,Song Yadong,Sean O'Malley,http://ufcstats.com/fight-details/007e8e0d4a39d82c,UFC 324: Gaethje vs. Pimblett,,Bantamweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,3.0,5:00,19.0,3.0,0.0,,,,,,,,71.0,135.0,72.0,6.05,3.4,0.6,0.6,0.24,0.42,0.6,0.2,switch,22.0,9.0,1.0,,,,,,,,68.0,135.0,67.0,4.42,3.94,0.43,0.55,0.78,0.39,0.73,0.1,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waldo Cortes Acosta,Derrick Lewis,Waldo Cortes Acosta,http://ufcstats.com/fight-details/d93ee3860196c4ae,UFC 324: Gaethje vs. Pimblett,,Heavyweight Bout,KO/TKO Round: 2 Time: 3:14 Time format: 3 Rnd (5-5-5) Referee: Jason Herzog,2.0,3:14,17.0,2.0,0.0,,,,,,,,76.0,260.0,78.0,5.54,3.38,0.49,0.56,0.44,0.57,0.72,0.1,orthodox,29.0,13.0,0.0,,,,,,,,75.0,260.0,79.0,2.46,2.57,0.49,0.39,0.55,0.26,0.52,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natalia Silva,Rose Namajunas,Natalia Silva,http://ufcstats.com/fight-details/d63c9aa4f4873001,UFC 324: Gaethje vs. Pimblett,,Women's Flyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Jason Herzog,3.0,5:00,20.0,5.0,1.0,,,,,,,,64.0,125.0,65.0,4.81,2.36,0.45,0.66,0.43,0.3,0.9,0.0,southpaw,15.0,8.0,0.0,,,,,,,,65.0,125.0,65.0,3.5,3.38,0.41,0.63,1.47,0.48,0.62,0.3,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnold Allen,Jean Silva,Jean Silva,http://ufcstats.com/fight-details/836a188a90e479a5,UFC 324: Gaethje vs. Pimblett,,Featherweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Chris Tognoni,3.0,5:00,20.0,4.0,0.0,,,,,,,,68.0,145.0,70.0,3.47,3.04,0.42,0.6,0.86,0.47,0.71,0.3,southpaw,17.0,3.0,0.0,,,,,,,,67.0,145.0,69.0,4.82,4.5,0.51,0.53,1.2,0.6,0.78,0.6,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Umar Nurmagomedov,Deiveson Figueiredo,Umar Nurmagomedov,http://ufcstats.com/fight-details/6c9f4799990c3c33,UFC 324: Gaethje vs. Pimblett,,Bantamweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,3.0,5:00,20.0,1.0,0.0,,,,,,,,68.0,135.0,69.0,3.86,1.86,0.56,0.61,4.03,0.46,0.79,0.2,orthodox,25.0,6.0,1.0,,,,,,,,65.0,135.0,68.0,2.63,3.47,0.53,0.49,1.61,0.35,0.57,1.2,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ateba Gautier,Andrey Pulyaev,Ateba Gautier,http://ufcstats.com/fight-details/33be2456161c14c3,UFC 324: Gaethje vs. Pimblett,,Middleweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Mark Smith,3.0,5:00,10.0,1.0,0.0,,,,,,,,76.0,185.0,81.0,4.44,2.93,0.48,0.52,0.49,1.0,0.92,0.0,switch,10.0,4.0,0.0,,,,,,,,76.0,185.0,78.0,3.84,3.14,0.56,0.55,0.29,0.16,0.64,0.0,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikita Krylov,Modestas Bukauskas,Nikita Krylov,http://ufcstats.com/fight-details/780cab0cd07589e4,UFC 324: Gaethje vs. Pimblett,,Light Heavyweight Bout,KO/TKO Round: 3 Time: 4:57 Time format: 3 Rnd (5-5-5) Referee: Marc Goddard,3.0,4:57,31.0,11.0,0.0,,,,,,,,75.0,205.0,77.0,4.36,2.59,0.54,0.47,2.05,0.37,0.53,1.2,orthodox,19.0,7.0,0.0,,,,,,,,75.0,205.0,76.0,3.24,4.05,0.42,0.5,0.26,0.66,0.79,0.1,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Perez,Charles Johnson,Alex Perez,http://ufcstats.com/fight-details/b5aafe149bec4306,UFC 324: Gaethje vs. Pimblett,,Flyweight Bout,KO/TKO Round: 1 Time: 3:16 Time format: 3 Rnd (5-5-5) Referee: Jason Herzog,1.0,3:16,26.0,10.0,0.0,,,,,,,,66.0,125.0,65.0,4.41,3.2,0.46,0.59,2.21,0.48,0.75,0.7,orthodox,18.0,8.0,0.0,,,,,,,,69.0,125.0,70.0,4.68,3.94,0.49,0.56,0.55,0.2,0.66,0.4,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Hokit,Denzel Freeman,Josh Hokit,http://ufcstats.com/fight-details/abfb3ed6dcb0e1f0,UFC 324: Gaethje vs. Pimblett,,Heavyweight Bout,KO/TKO Round: 1 Time: 4:59 Time format: 3 Rnd (5-5-5) Referee: Mark Smith,1.0,4:59,8.0,0.0,0.0,,,,,,,,73.0,236.0,73.0,6.07,0.83,0.66,0.66,8.74,0.46,1.0,0.0,orthodox,7.0,2.0,0.0,,,,,,,,73.0,265.0,77.0,2.45,3.4,0.56,0.5,0.0,0.0,0.5,0.0,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Fugitt,Ty Miller,Ty Miller,http://ufcstats.com/fight-details/210fc45074fba464,UFC 324: Gaethje vs. Pimblett,,Welterweight Bout,KO/TKO Round: 1 Time: 4:59 Time format: 3 Rnd (5-5-5) Referee: Chris Tognoni,1.0,4:59,10.0,6.0,0.0,,,,,,,,73.0,170.0,77.0,4.88,5.33,0.46,0.51,1.63,0.22,0.5,0.0,southpaw,7.0,0.0,0.0,,,,,,,,74.0,170.0,77.0,7.16,4.65,0.38,0.64,0.0,0.0,0.75,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Royval,Manel Kape,Manel Kape,http://ufcstats.com/fight-details/a5a81a39ccf9b680,UFC Fight Night: Royval vs. Kape,,Flyweight Bout,KO/TKO Round: 1 Time: 3:18 Time format: 5 Rnd (5-5-5-5-5) Referee: Herb Dean,1.0,3:18,17.0,9.0,0.0,,,,,,,,69.0,125.0,68.0,5.54,4.25,0.41,0.43,0.65,0.75,0.45,1.1,southpaw,22.0,7.0,0.0,,,,,,,,65.0,125.0,68.0,5.04,4.08,0.56,0.57,0.4,0.3,0.81,0.3,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giga Chikadze,Kevin Vallejos,Kevin Vallejos,http://ufcstats.com/fight-details/24bb03f0a3415fbe,UFC Fight Night: Royval vs. Kape,,Featherweight Bout,KO/TKO Round: 2 Time: 1:29 Time format: 3 Rnd (5-5-5) Referee: Mark Smith,2.0,1:29,15.0,6.0,0.0,,,,,,,,72.0,145.0,74.0,3.75,3.47,0.42,0.59,0.18,0.33,0.65,0.2,orthodox,17.0,1.0,0.0,,,,,,,,67.0,145.0,68.0,5.78,4.71,0.46,0.56,0.71,0.28,0.83,0.0,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesar Almeida,Cezary Oleksiejczuk,Cezary Oleksiejczuk,http://ufcstats.com/fight-details/d000cb692343cdcd,UFC Fight Night: Royval vs. Kape,,Middleweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Kerry Hatley,3.0,5:00,7.0,2.0,0.0,,,,,,,,73.0,185.0,74.0,3.46,2.03,0.58,0.46,0.0,0.0,0.52,0.2,orthodox,17.0,3.0,0.0,,,,,,,,75.0,185.0,75.0,1.99,0.77,0.86,0.47,5.77,0.85,1.0,0.0,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melquizael Costa,Morgan Charriere,Melquizael Costa,http://ufcstats.com/fight-details/93ca562453f65b8d,UFC Fight Night: Royval vs. Kape,,Featherweight Bout,KO/TKO Round: 1 Time: 1:14 Time format: 3 Rnd (5-5-5) Referee: Eric McMahon,1.0,1:14,26.0,7.0,0.0,,,,,,,,70.0,145.0,71.0,4.38,2.97,0.49,0.54,2.0,0.4,0.58,1.1,southpaw,21.0,12.0,1.0,,,,,,,,68.0,145.0,69.0,4.02,4.51,0.5,0.53,2.06,0.46,0.83,0.3,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kennedy Nzechukwu,Marcus Buchecha,,http://ufcstats.com/fight-details/47149f3187661509,UFC Fight Night: Royval vs. Kape,,Heavyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,3.0,5:00,14.0,6.0,1.0,,,,,,,,77.0,236.0,83.0,4.96,4.58,0.46,0.51,0.5,0.45,0.8,0.2,southpaw,5.0,2.0,1.0,,,,,,,,74.0,255.0,77.0,1.7,2.17,0.49,0.51,2.0,0.16,0.0,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
King Green,Lance Gibson Jr.,King Green,http://ufcstats.com/fight-details/fc4ab243d21b795d,UFC Fight Night: Royval vs. Kape,,Catch Weight Bout,Decision - Split Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Mark Smith,3.0,5:00,34.0,17.0,1.0,,,,,,,,70.0,155.0,71.0,6.38,3.58,0.53,0.62,1.31,0.42,0.72,0.3,orthodox,9.0,2.0,0.0,,,,,,,,69.0,155.0,72.0,2.0,4.33,0.41,0.53,2.0,0.66,0.5,0.0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neil Magny,Yaroslav Amosov,Yaroslav Amosov,http://ufcstats.com/fight-details/0fca825e14429c1f,UFC Fight Night: Royval vs. Kape,,Welterweight Bout,Submission Round: 1 Time: 3:14 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,1.0,3:14,31.0,15.0,0.0,,,,,,,,75.0,170.0,80.0,3.4,2.44,0.46,0.51,2.17,0.39,0.55,0.3,orthodox,29.0,1.0,0.0,,,,,,,,72.0,170.0,75.0,2.78,1.55,0.47,0.54,4.64,0.5,0.0,4.6,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joanderson Brito,Isaac Thomson,Joanderson Brito,http://ufcstats.com/fight-details/225e93ebed9b71b8,UFC Fight Night: Royval vs. Kape,,Featherweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Eric McMahon,3.0,5:00,18.0,5.0,1.0,,,,,,,,68.0,145.0,72.0,2.43,2.32,0.51,0.44,3.38,0.67,0.47,1.1,orthodox,9.0,3.0,0.0,,,,,,,,70.0,145.0,69.0,1.4,2.2,0.44,0.42,4.0,0.8,0.33,0.0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Sharaf,Steven Asplund,Steven Asplund,http://ufcstats.com/fight-details/a2523a8565fe4361,UFC Fight Night: Royval vs. Kape,,Heavyweight Bout,KO/TKO Round: 2 Time: 3:49 Time format: 3 Rnd (5-5-5) Referee: Mark Smith,2.0,3:49,4.0,2.0,0.0,,,,,,,,75.0,252.0,77.0,7.41,15.0,0.43,0.42,0.93,0.11,0.0,0.0,orthodox,7.0,1.0,0.0,,,,,,,,77.0,260.0,78.0,19.93,7.49,0.58,0.57,0.0,0.0,1.0,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melissa Croden,Luana Santos,Luana Santos,http://ufcstats.com/fight-details/ceb5b0f1f6daddf6,UFC Fight Night: Royval vs. Kape,,Women's Bantamweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Kerry Hatley,3.0,5:00,7.0,3.0,0.0,,,,,,,,69.0,135.0,68.0,4.1,1.83,0.48,0.53,1.02,0.5,0.66,0.0,orthodox,10.0,2.0,0.0,,,,,,,,66.0,135.0,67.0,2.99,2.93,0.52,0.63,2.17,0.47,0.85,1.2,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Frye Jr.,Guilherme Pat,Guilherme Pat,http://ufcstats.com/fight-details/ac56a1052c4c8f63,UFC Fight Night: Royval vs. Kape,,Heavyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Eric McMahon,3.0,5:00,6.0,1.0,0.0,,,,,,,,77.0,265.0,80.0,2.2,4.27,0.38,0.36,0.0,0.0,0.0,0.0,orthodox,6.0,0.0,0.0,,,,,,,,78.0,265.0,81.0,4.27,2.2,0.64,0.61,0.0,0.0,0.0,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamey-Lyn Horth,Tereza Bleda,Jamey-Lyn Horth,http://ufcstats.com/fight-details/71170fb7ade3e1f4,UFC Fight Night: Royval vs. Kape,,Women's Flyweight Bout,KO/TKO Round: 1 Time: 2:05 Time format: 3 Rnd (5-5-5) Referee: Kerry Hatley,1.0,2:05,9.0,2.0,0.0,,,,,,,,67.0,125.0,66.0,3.63,2.5,0.55,0.63,1.17,0.42,0.79,0.2,orthodox,7.0,2.0,0.0,,,,,,,,69.0,125.0,71.0,2.92,2.14,0.51,0.43,1.72,0.22,0.83,0.7,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merab Dvalishvili,Petr Yan,Petr Yan,http://ufcstats.com/fight-details/4a0db214d9721d6e,UFC 323: Dvalishvili vs. Yan 2,,UFC Bantamweight Title Bout,Decision - Unanimous Round: 5 Time: 5:00 Time format: 5 Rnd (5-5-5-5-5) Referee: Marc Goddard,5.0,5:00,21.0,5.0,0.0,,,,,,,,66.0,135.0,68.0,4.42,2.8,0.41,0.54,5.97,0.35,0.76,0.3,orthodox,20.0,5.0,0.0,,,,,,,,67.0,135.0,67.0,5.16,4.24,0.54,0.59,1.7,0.49,0.86,0.1,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandre Pantoja,Joshua Van,Joshua Van,http://ufcstats.com/fight-details/dfa692db6d39330c,UFC 323: Dvalishvili vs. Yan 2,,UFC Flyweight Title Bout,KO/TKO Round: 1 Time: 0:26 Time format: 5 Rnd (5-5-5-5-5) Referee: Herb Dean,1.0,0:26,30.0,6.0,0.0,,,,,,,,65.0,125.0,67.0,4.38,3.88,0.5,0.49,2.79,0.47,0.69,1.0,orthodox,16.0,2.0,0.0,,,,,,,,65.0,125.0,65.0,8.84,6.39,0.56,0.57,0.84,0.63,0.81,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Moreno,Tatsuro Taira,Tatsuro Taira,http://ufcstats.com/fight-details/fbbb9e72900b71f5,UFC 323: Dvalishvili vs. Yan 2,,Flyweight Bout,KO/TKO Round: 2 Time: 2:24 Time format: 3 Rnd (5-5-5) Referee: Mark Smith,2.0,2:24,23.0,10.0,2.0,,,,,,,,67.0,125.0,70.0,3.84,3.64,0.44,0.59,1.36,0.39,0.65,0.4,orthodox,18.0,1.0,0.0,,,,,,,,67.0,125.0,70.0,2.94,2.44,0.6,0.47,3.12,0.46,0.45,1.6,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Cejudo,Payton Talbott,Payton Talbott,http://ufcstats.com/fight-details/1dc29f4c6fcdd356,UFC 323: Dvalishvili vs. Yan 2,,Bantamweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Chris Tognoni,3.0,5:00,16.0,6.0,0.0,,,,,,,,64.0,135.0,64.0,3.83,3.84,0.47,0.57,1.78,0.29,0.72,0.1,orthodox,11.0,1.0,0.0,,,,,,,,70.0,135.0,70.0,6.62,3.41,0.56,0.46,0.78,0.44,0.77,0.2,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Blachowicz,Bogdan Guskov,,http://ufcstats.com/fight-details/6d6ab10cbaa45e8c,UFC 323: Dvalishvili vs. Yan 2,,Light Heavyweight Bout,Decision - Majority Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Jason Herzog,3.0,5:00,29.0,11.0,2.0,,,,,,,,74.0,205.0,78.0,3.55,3.14,0.5,0.52,0.98,0.48,0.69,0.4,orthodox,18.0,3.0,1.0,,,,,,,,75.0,205.0,76.0,4.57,4.09,0.55,0.44,0.0,0.0,0.57,0.7,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant Dawson,Manuel Torres,Manuel Torres,http://ufcstats.com/fight-details/c797b58d85c840a4,UFC 323: Dvalishvili vs. Yan 2,,Lightweight Bout,KO/TKO Round: 1 Time: 2:25 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,1.0,2:25,23.0,3.0,1.0,,,,,,,,70.0,155.0,72.0,3.21,2.13,0.52,0.44,3.81,0.39,0.57,1.1,switch,17.0,3.0,0.0,,,,,,,,70.0,155.0,73.0,7.29,4.08,0.59,0.54,1.72,0.66,0.9,0.9,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrance McKinney,Chris Duncan,Chris Duncan,http://ufcstats.com/fight-details/b3d2ac2244e4f791,UFC 323: Dvalishvili vs. Yan 2,,Lightweight Bout,Submission Round: 1 Time: 2:30 Time format: 3 Rnd (5-5-5) Referee: Marc Goddard,1.0,2:30,17.0,8.0,0.0,,,,,,,,70.0,155.0,73.0,6.24,3.46,0.56,0.43,3.34,0.4,0.72,2.1,switch,15.0,2.0,0.0,,,,,,,,70.0,155.0,71.0,5.02,4.82,0.46,0.51,3.27,0.42,0.5,0.7,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maycee Barber,Karine Silva,Maycee Barber,http://ufcstats.com/fight-details/2417cc7bc1eea75b,UFC 323: Dvalishvili vs. Yan 2,,Women's Flyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Mark Smith,3.0,5:00,15.0,2.0,0.0,,,,,,,,65.0,125.0,65.0,4.61,2.76,0.53,0.54,1.58,0.45,0.51,0.1,switch,19.0,6.0,0.0,,,,,,,,65.0,125.0,67.0,2.48,3.04,0.39,0.48,2.3,0.5,0.21,1.5,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nazim Sadykhov,Fares Ziam,Fares Ziam,http://ufcstats.com/fight-details/10a57b983e59f727,UFC 323: Dvalishvili vs. Yan 2,,Lightweight Bout,KO/TKO Round: 2 Time: 4:59 Time format: 3 Rnd (5-5-5) Referee: Jason Herzog,2.0,4:59,11.0,2.0,1.0,,,,,,,,70.0,155.0,69.0,4.79,5.49,0.49,0.49,1.1,0.45,0.72,0.2,southpaw,18.0,4.0,0.0,,,,,,,,73.0,155.0,75.0,2.87,1.53,0.52,0.65,1.73,0.4,0.71,0.5,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Vettori,Brunno Ferreira,Brunno Ferreira,http://ufcstats.com/fight-details/3c683da1924b6c44,UFC 323: Dvalishvili vs. Yan 2,,Middleweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Chris Tognoni,3.0,5:00,19.0,10.0,1.0,,,,,,,,72.0,185.0,74.0,4.74,4.55,0.45,0.56,1.41,0.43,0.68,0.4,southpaw,15.0,3.0,0.0,,,,,,,,70.0,185.0,72.0,3.77,3.91,0.5,0.51,1.25,0.23,0.61,0.8,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
