Red,Blue,Winner,Fight_URL,Event
Lawrence Lui,Sulangrangbo,,http://ufcstats.com/fight-details/5c73e0013b859664,UFC 325: Volkanovski vs. Lopes 2
Justin Gaethje,Paddy Pimblett,,http://ufcstats.com/fight-details/fa4b3f5ce8055921,UFC 324: Gaethje vs. Pimblett
Sean O'Malley,Song Yadong,,http://ufcstats.com/fight-details/007e8e0d4a39d82c,UFC 324: Gaethje vs. Pimblett
Waldo Cortes Acosta,Derrick Lewis,,http://ufcstats.com/fight-details/d93ee3860196c4ae,UFC 324: Gaethje vs. Pimblett
Natalia Silva,Rose Namajunas,,http://ufcstats.com/fight-details/d63c9aa4f4873001,UFC 324: Gaethje vs. Pimblett
Jean Silva,Arnold Allen,,http://ufcstats.com/fight-details/836a188a90e479a5,UFC 324: Gaethje vs. Pimblett
Umar Nurmagomedov,Deiveson Figueiredo,,http://ufcstats.com/fight-details/6c9f4799990c3c33,UFC 324: Gaethje vs. Pimblett
Ateba Gautier,Andrey Pulyaev,,http://ufcstats.com/fight-details/33be2456161c14c3,UFC 324: Gaethje vs. Pimblett
Nikita Krylov,Modestas Bukauskas,,http://ufcstats.com/fight-details/780cab0cd07589e4,UFC 324: Gaethje vs. Pimblett
Alex Perez,Charles Johnson,,http://ufcstats.com/fight-details/b5aafe149bec4306,UFC 324: Gaethje vs. Pimblett
Josh Hokit,Denzel Freeman,,http://ufcstats.com/fight-details/abfb3ed6dcb0e1f0,UFC 324: Gaethje vs. Pimblett
Ty Miller,Adam Fugitt,,http://ufcstats.com/fight-details/210fc45074fba464,UFC 324: Gaethje vs. Pimblett
Manel Kape,Brandon Royval,,http://ufcstats.com/fight-details/a5a81a39ccf9b680,UFC Fight Night: Royval vs. Kape
Kevin Vallejos,Giga Chikadze,,http://ufcstats.com/fight-details/24bb03f0a3415fbe,UFC Fight Night: Royval vs. Kape
Cezary Oleksiejczuk,Cesar Almeida,,http://ufcstats.com/fight-details/d000cb692343cdcd,UFC Fight Night: Royval vs. Kape
Melquizael Costa,Morgan Charriere,,http://ufcstats.com/fight-details/93ca562453f65b8d,UFC Fight Night: Royval vs. Kape
Kennedy Nzechukwu,Marcus Buchecha,,http://ufcstats.com/fight-details/47149f3187661509,UFC Fight Night: Royval vs. Kape
King Green,Lance Gibson Jr.,,http://ufcstats.com/fight-details/fc4ab243d21b795d,UFC Fight Night: Royval vs. Kape
